home_team,away_team,tournament,country,neutral,Month
318,119.0,68,309.0,0,5
152,220.0,62,152.0,0,8
279,304.0,106,194.0,1,11
298,200.0,14,284.0,1,11
133,280.0,60,133.0,0,5
322,188.0,60,322.0,0,10
161,163.0,117,161.0,0,5
178,75.0,8,84.0,1,2
147,322.0,24,296.0,1,11
52,141.0,62,52.0,0,1
108,193.0,59,12.0,1,5
16,303.0,60,16.0,0,3
110,249.0,116,222.0,1,9
190,308.0,74,284.0,1,11
221,129.0,62,221.0,0,7
274,300.0,62,274.0,0,2
221,2.0,60,221.0,0,9
204,98.0,116,204.0,0,2
12,27.0,95,193.0,1,5
220,1.0,62,220.0,0,8
12,217.0,42,12.0,0,2
17,139.0,36,17.0,0,2
204,88.0,21,204.0,0,9
129,139.0,62,129.0,0,5
131,128.0,60,156.0,1,4
274,88.0,116,274.0,0,8
252,288.0,60,252.0,0,5
200,185.0,56,164.0,1,5
157,92.0,62,157.0,0,3
235,179.0,62,235.0,0,11
266,200.0,62,266.0,0,7
107,139.0,62,107.0,0,3
83,12.0,60,83.0,0,2
193,27.0,62,193.0,0,2
269,302.0,62,225.0,1,1
164,190.0,62,61.0,1,5
167,8.0,34,191.0,1,5
159,302.0,62,291.0,1,4
300,127.0,62,300.0,0,0
151,296.0,62,84.0,1,0
161,155.0,17,161.0,0,3
33,306.0,38,37.0,1,5
35,109.0,62,35.0,0,2
95,255.0,70,95.0,0,6
302,108.0,95,193.0,1,5
129,7.0,60,129.0,0,9
139,222.0,117,139.0,0,10
99,129.0,62,99.0,0,5
106,227.0,116,106.0,0,8
193,84.0,62,193.0,0,7
175,241.0,25,141.0,1,4
274,292.0,60,274.0,0,4
163,74.0,60,163.0,0,9
249,321.0,62,249.0,0,10
247,146.0,62,247.0,0,11
190,131.0,2,190.0,0,2
232,130.0,60,,1,9
147,90.0,24,233.0,1,11
274,74.0,36,274.0,0,4
132,284.0,5,307.0,1,8
109,288.0,62,109.0,0,5
72,138.0,116,72.0,0,8
132,266.0,83,169.0,1,6
2,35.0,62,2.0,0,10
108,2.0,116,108.0,0,5
134,16.0,60,133.0,1,2
208,154.0,60,208.0,0,4
181,141.0,60,181.0,0,1
98,13.0,116,98.0,0,10
12,37.0,38,219.0,1,3
296,322.0,62,296.0,0,5
274,129.0,36,274.0,0,5
181,47.0,63,300.0,1,6
241,240.0,60,241.0,0,8
200,225.0,60,258.0,1,4
227,274.0,116,227.0,0,4
92,8.0,9,,0,8
181,300.0,60,181.0,0,0
156,298.0,62,156.0,0,8
88,12.0,62,88.0,0,4
141,70.0,62,141.0,0,2
47,127.0,60,47.0,0,8
109,197.0,125,29.0,1,1
298,258.0,62,298.0,0,2
165,178.0,9,165.0,0,6
77,292.0,60,77.0,0,9
88,204.0,21,88.0,0,9
221,261.0,62,221.0,0,2
62,37.0,60,62.0,0,9
107,88.0,62,107.0,0,4
49,171.0,11,49.0,0,1
284,133.0,2,284.0,0,10
217,219.0,38,83.0,1,5
271,4.0,60,271.0,0,11
108,41.0,116,108.0,0,10
225,144.0,60,225.0,0,10
208,151.0,65,21.0,1,10
266,142.0,62,266.0,0,8
247,132.0,62,247.0,0,11
131,151.0,103,131.0,0,5
172,292.0,116,172.0,0,9
143,180.0,70,88.0,1,5
224,196.0,62,224.0,0,5
154,287.0,6,220.0,1,10
216,289.0,106,97.0,1,6
108,17.0,60,108.0,0,8
204,297.0,116,204.0,0,9
131,284.0,83,169.0,1,7
108,269.0,62,108.0,0,2
240,290.0,104,240.0,0,6
211,61.0,62,211.0,0,0
274,74.0,36,274.0,0,9
33,37.0,38,12.0,1,2
17,222.0,116,17.0,0,10
169,247.0,14,142.0,1,9
88,17.0,62,88.0,0,5
157,322.0,9,265.0,1,2
276,57.0,33,129.0,0,5
21,42.0,62,21.0,0,7
196,124.0,62,196.0,0,1
266,151.0,14,61.0,1,9
273,206.0,91,273.0,0,5
118,217.0,62,118.0,0,2
8,171.0,8,84.0,1,6
175,115.0,26,116.0,1,9
147,42.0,60,147.0,0,3
61,324.0,54,169.0,1,1
22,284.0,83,169.0,1,7
67,59.0,62,67.0,0,1
198,158.0,7,198.0,0,9
70,224.0,62,70.0,0,0
113,204.0,116,113.0,0,9
188,133.0,59,232.0,1,5
144,146.0,2,225.0,1,2
69,297.0,60,69.0,0,5
132,195.0,60,16.0,1,2
198,288.0,9,198.0,0,2
67,37.0,99,67.0,0,2
161,91.0,62,161.0,0,8
178,158.0,9,178.0,0,5
21,170.0,2,275.0,1,3
217,219.0,60,217.0,0,10
231,232.0,62,231.0,0,3
99,269.0,115,99.0,0,5
219,37.0,38,219.0,0,2
190,132.0,83,169.0,1,7
118,85.0,118,67.0,1,4
129,292.0,62,129.0,0,2
245,261.0,116,245.0,0,8
84,156.0,12,225.0,1,11
261,300.0,59,265.0,1,5
16,65.0,93,16.0,0,8
181,221.0,62,300.0,1,3
127,85.0,118,67.0,1,2
16,266.0,60,16.0,0,7
270,192.0,103,131.0,1,3
144,152.0,62,225.0,1,11
19,108.0,116,19.0,0,5
37,12.0,62,37.0,0,2
88,172.0,60,88.0,0,9
119,143.0,86,119.0,0,4
274,150.0,62,274.0,0,2
131,266.0,83,169.0,1,7
291,221.0,62,291.0,0,1
249,47.0,62,249.0,0,9
39,206.0,62,99.0,0,10
269,300.0,62,269.0,0,5
193,98.0,60,193.0,0,9
37,217.0,38,219.0,1,6
219,67.0,62,219.0,0,9
193,99.0,62,193.0,0,10
108,77.0,115,108.0,0,5
191,44.0,9,191.0,0,2
134,213.0,124,133.0,1,5
266,169.0,67,132.0,1,5
296,324.0,24,296.0,0,11
128,190.0,62,128.0,0,10
288,75.0,62,288.0,0,1
101,71.0,26,224.0,1,8
170,22.0,62,170.0,0,8
192,200.0,3,131.0,1,7
140,42.0,8,8.0,1,0
188,252.0,62,188.0,0,11
59,302.0,60,59.0,0,2
147,158.0,60,147.0,0,7
130,95.0,62,130.0,0,7
113,93.0,62,113.0,0,9
190,200.0,60,190.0,0,10
59,249.0,62,59.0,0,5
12,302.0,44,12.0,0,4
206,273.0,91,206.0,0,9
190,270.0,62,211.0,1,11
169,258.0,107,169.0,0,7
284,208.0,74,284.0,0,1
231,138.0,62,231.0,0,2
17,46.0,62,17.0,0,3
188,84.0,9,188.0,0,10
291,27.0,59,142.0,1,5
127,214.0,62,127.0,0,5
167,42.0,9,167.0,0,10
249,27.0,116,249.0,0,8
221,161.0,62,221.0,0,5
247,109.0,62,298.0,1,10
231,41.0,16,231.0,0,4
165,283.0,62,165.0,0,5
164,152.0,3,22.0,1,3
270,280.0,3,22.0,1,3
108,302.0,62,108.0,0,3
221,139.0,62,221.0,0,10
21,298.0,65,151.0,1,2
77,249.0,116,77.0,0,5
217,302.0,38,37.0,1,3
134,61.0,60,144.0,1,4
45,154.0,60,45.0,0,5
292,291.0,62,292.0,0,10
181,127.0,63,300.0,1,1
155,7.0,117,155.0,0,8
216,304.0,60,244.0,1,4
164,154.0,62,164.0,0,9
134,188.0,62,134.0,0,10
90,323.0,24,233.0,1,10
141,127.0,60,141.0,0,9
107,130.0,116,107.0,0,9
146,231.0,60,146.0,0,9
46,188.0,8,84.0,1,2
271,84.0,62,271.0,0,1
266,61.0,1,298.0,1,0
78,93.0,24,233.0,1,11
204,113.0,116,204.0,0,3
170,133.0,60,275.0,1,5
283,323.0,24,283.0,0,10
36,157.0,62,36.0,0,4
46,288.0,60,46.0,0,3
133,198.0,79,128.0,1,0
4,322.0,8,159.0,1,2
37,27.0,59,142.0,1,5
265,296.0,60,265.0,0,2
84,93.0,9,84.0,0,6
146,281.0,62,146.0,0,10
198,77.0,59,99.0,1,5
41,163.0,116,41.0,0,9
134,159.0,83,169.0,1,6
307,275.0,62,307.0,0,5
273,232.0,62,273.0,0,6
201,150.0,116,201.0,0,9
290,21.0,60,290.0,0,10
227,16.0,62,227.0,0,7
269,98.0,60,269.0,0,9
15,30.0,30,,1,8
116,272.0,26,116.0,0,2
29,271.0,60,29.0,0,5
240,187.0,26,240.0,0,3
61,190.0,62,61.0,0,2
265,49.0,60,265.0,0,5
252,198.0,62,252.0,0,9
272,34.0,0,272.0,0,0
324,75.0,9,324.0,0,8
177,42.0,60,177.0,0,4
2,108.0,116,2.0,0,10
217,35.0,62,217.0,0,3
27,139.0,116,27.0,0,4
139,69.0,116,139.0,0,10
46,263.0,60,46.0,0,3
293,208.0,60,293.0,0,10
4,198.0,8,140.0,1,2
197,296.0,62,197.0,0,8
37,274.0,59,225.0,1,10
217,127.0,62,217.0,0,5
70,175.0,62,272.0,1,4
147,167.0,24,147.0,0,10
193,129.0,116,193.0,0,3
33,219.0,60,33.0,0,10
169,313.0,83,169.0,0,7
262,216.0,62,262.0,0,8
269,134.0,37,265.0,1,5
204,88.0,21,204.0,0,9
17,99.0,60,17.0,0,2
245,163.0,117,245.0,0,8
115,241.0,126,79.0,1,11
131,284.0,83,169.0,1,6
277,282.0,32,273.0,0,5
208,144.0,60,208.0,0,1
144,21.0,1,225.0,1,0
249,88.0,21,249.0,0,3
59,219.0,62,59.0,0,6
149,279.0,96,194.0,1,8
229,236.0,70,273.0,1,5
274,139.0,62,274.0,0,10
7,201.0,116,7.0,0,9
88,269.0,116,88.0,0,3
300,67.0,62,300.0,0,5
249,98.0,62,249.0,0,2
235,178.0,62,235.0,0,6
284,303.0,74,284.0,0,11
216,262.0,106,97.0,1,8
80,253.0,62,80.0,0,0
140,84.0,8,42.0,1,1
193,98.0,60,193.0,0,10
266,156.0,60,266.0,0,5
297,26.0,60,297.0,0,8
265,253.0,62,265.0,0,7
62,217.0,38,37.0,1,6
27,41.0,116,27.0,0,10
170,185.0,60,170.0,0,11
62,219.0,62,62.0,0,4
27,108.0,62,27.0,0,2
37,12.0,62,37.0,0,8
17,129.0,62,17.0,0,9
284,198.0,62,284.0,0,0
287,185.0,60,,0,2
258,45.0,107,132.0,1,9
95,249.0,116,95.0,0,5
35,130.0,116,35.0,0,2
44,120.0,9,103.0,1,9
155,130.0,62,155.0,0,3
138,140.0,62,138.0,0,10
108,95.0,116,108.0,0,9
273,91.0,116,273.0,0,10
193,37.0,62,193.0,0,11
288,296.0,9,288.0,0,9
67,46.0,62,67.0,0,2
59,217.0,62,59.0,0,11
129,2.0,62,129.0,0,5
138,35.0,60,138.0,0,9
83,306.0,38,62.0,1,6
193,130.0,116,193.0,0,8
221,2.0,62,221.0,0,10
222,253.0,60,222.0,0,10
273,274.0,62,273.0,0,2
247,298.0,65,151.0,1,2
71,85.0,62,71.0,0,2
37,141.0,62,88.0,1,9
70,9.0,26,70.0,0,4
84,171.0,8,291.0,1,3
300,309.0,59,225.0,1,10
115,101.0,26,115.0,0,10
178,254.0,62,235.0,1,4
300,181.0,60,300.0,0,8
73,206.0,60,73.0,0,10
71,38.0,26,,1,5
302,67.0,62,302.0,0,10
117,185.0,2,31.0,1,3
12,217.0,60,12.0,0,7
269,204.0,116,269.0,0,4
206,221.0,60,206.0,0,8
151,31.0,2,151.0,0,1
106,265.0,62,106.0,0,2
225,208.0,62,225.0,0,8
91,69.0,62,91.0,0,4
206,127.0,79,128.0,1,0
105,120.0,62,105.0,0,4
105,109.0,62,105.0,0,0
221,227.0,116,221.0,0,9
296,93.0,24,296.0,0,10
152,281.0,60,152.0,0,10
29,197.0,111,42.0,1,7
144,183.0,72,144.0,0,7
144,298.0,62,21.0,1,0
108,269.0,62,108.0,0,10
189,167.0,62,189.0,0,5
21,134.0,60,21.0,0,7
142,131.0,14,284.0,1,11
273,163.0,60,273.0,0,9
147,84.0,9,147.0,0,3
274,222.0,60,274.0,0,2
154,258.0,74,284.0,1,10
44,233.0,62,44.0,0,7
41,221.0,60,41.0,0,5
261,73.0,62,261.0,0,3
143,125.0,68,309.0,1,5
280,200.0,56,280.0,0,10
290,62.0,62,300.0,1,8
27,193.0,62,27.0,0,2
141,181.0,27,85.0,1,2
59,217.0,62,59.0,0,8
241,243.0,126,241.0,0,0
118,214.0,62,118.0,0,0
204,261.0,62,204.0,0,2
279,5.0,96,244.0,1,6
269,73.0,116,269.0,0,2
290,127.0,63,300.0,1,6
274,292.0,115,274.0,0,5
247,324.0,62,247.0,0,11
321,138.0,60,321.0,0,10
110,113.0,116,222.0,1,2
298,284.0,1,298.0,0,0
109,197.0,9,109.0,0,7
163,274.0,62,163.0,0,10
47,133.0,62,47.0,0,7
274,99.0,62,274.0,0,7
134,151.0,65,247.0,1,2
219,12.0,60,219.0,0,7
91,172.0,62,91.0,0,7
141,67.0,60,141.0,0,10
190,287.0,5,169.0,1,11
258,313.0,83,169.0,1,7
70,124.0,28,70.0,0,10
210,135.0,123,273.0,1,6
190,266.0,74,284.0,1,0
249,17.0,62,249.0,0,3
141,300.0,60,141.0,0,8
84,37.0,62,,1,4
124,127.0,27,124.0,0,11
141,124.0,26,141.0,0,10
232,129.0,62,,0,4
27,41.0,62,27.0,0,3
69,181.0,62,69.0,0,9
195,16.0,62,195.0,0,6
169,280.0,2,284.0,1,3
4,269.0,59,181.0,1,5
198,46.0,62,27.0,1,9
121,120.0,60,121.0,0,5
61,128.0,60,61.0,0,4
152,211.0,60,152.0,0,11
122,70.0,28,122.0,0,10
190,200.0,3,131.0,1,7
252,46.0,8,171.0,1,1
130,292.0,62,130.0,0,6
154,220.0,6,154.0,0,9
146,221.0,60,146.0,0,8
139,274.0,62,139.0,0,3
260,249.0,60,260.0,0,9
225,151.0,62,225.0,0,0
190,169.0,108,258.0,1,8
118,59.0,62,300.0,1,4
33,217.0,60,33.0,0,5
163,253.0,60,163.0,0,8
83,141.0,62,300.0,1,7
61,169.0,62,61.0,0,8
61,252.0,62,61.0,0,7
139,41.0,60,139.0,0,8
97,194.0,62,97.0,0,9
200,258.0,60,200.0,0,4
252,93.0,62,252.0,0,10
12,83.0,38,219.0,1,2
141,67.0,62,141.0,0,2
131,303.0,2,298.0,1,10
261,72.0,60,261.0,0,10
146,183.0,62,292.0,1,1
99,113.0,116,99.0,0,5
258,21.0,2,258.0,0,10
99,321.0,59,273.0,1,5
227,206.0,59,300.0,1,5
161,41.0,116,161.0,0,5
300,30.0,62,300.0,0,10
195,16.0,62,195.0,0,6
202,61.0,62,,0,9
45,284.0,83,169.0,1,7
19,47.0,62,17.0,1,5
178,254.0,62,235.0,1,8
89,53.0,62,89.0,0,8
324,8.0,7,324.0,0,8
62,219.0,19,62.0,0,7
83,217.0,38,83.0,0,5
303,275.0,62,303.0,0,8
292,98.0,62,292.0,0,1
309,138.0,60,309.0,0,1
322,8.0,34,322.0,0,7
17,321.0,116,17.0,0,10
302,33.0,60,302.0,0,6
131,192.0,103,211.0,1,11
208,151.0,1,16.0,1,0
142,200.0,60,142.0,0,1
142,200.0,56,61.0,1,1
131,284.0,83,169.0,1,6
83,85.0,62,83.0,0,8
17,269.0,60,17.0,0,9
133,221.0,62,133.0,0,1
210,215.0,32,88.0,1,5
247,270.0,60,247.0,0,10
214,67.0,118,214.0,0,1
258,211.0,2,258.0,0,2
167,189.0,62,167.0,0,7
260,144.0,62,260.0,0,5
273,163.0,116,273.0,0,2
159,42.0,60,159.0,0,5
245,260.0,60,245.0,0,9
243,141.0,62,243.0,0,8
141,198.0,62,141.0,0,1
221,186.0,60,221.0,0,8
322,271.0,9,322.0,0,3
188,291.0,62,188.0,0,8
291,98.0,62,291.0,0,10
93,322.0,62,93.0,0,5
128,142.0,2,128.0,0,5
321,95.0,116,321.0,0,4
129,232.0,62,129.0,0,10
163,84.0,62,163.0,0,5
191,92.0,34,191.0,0,7
98,231.0,116,98.0,0,8
33,83.0,60,33.0,0,10
272,193.0,62,272.0,0,7
302,12.0,38,302.0,0,1
25,302.0,62,269.0,0,11
274,99.0,62,274.0,0,9
133,134.0,60,133.0,0,0
240,187.0,26,240.0,0,1
74,269.0,59,59.0,1,4
109,198.0,60,109.0,0,2
324,92.0,9,324.0,0,9
194,97.0,106,244.0,1,8
124,302.0,62,124.0,0,2
291,140.0,62,298.0,1,0
288,75.0,8,103.0,1,0
77,146.0,116,77.0,0,9
206,98.0,91,206.0,0,7
73,138.0,117,73.0,0,10
298,303.0,62,298.0,0,10
84,283.0,90,84.0,0,0
17,138.0,60,17.0,0,10
142,45.0,14,284.0,1,11
84,275.0,98,159.0,1,7
274,269.0,62,274.0,0,4
292,19.0,62,292.0,0,4
262,65.0,60,262.0,0,4
221,227.0,62,221.0,0,10
268,44.0,24,147.0,1,11
227,302.0,62,227.0,0,3
190,280.0,77,266.0,1,4
200,142.0,60,284.0,1,5
4,41.0,62,4.0,0,10
211,61.0,62,211.0,0,1
211,144.0,2,211.0,0,9
296,147.0,62,296.0,0,8
208,61.0,60,208.0,0,2
42,171.0,62,188.0,1,0
193,181.0,59,99.0,1,5
134,296.0,62,151.0,1,10
19,172.0,117,19.0,0,9
120,42.0,62,120.0,0,3
33,59.0,60,33.0,0,5
147,75.0,62,147.0,0,6
235,178.0,62,235.0,0,8
302,37.0,49,302.0,0,6
169,131.0,14,284.0,1,11
269,139.0,62,269.0,0,2
151,156.0,62,151.0,0,0
47,201.0,62,47.0,0,4
193,27.0,62,193.0,0,3
122,272.0,62,,0,8
108,249.0,116,108.0,0,8
130,99.0,116,130.0,0,8
233,90.0,24,233.0,0,10
240,242.0,29,240.0,0,5
143,119.0,86,143.0,0,3
61,208.0,60,61.0,0,9
172,265.0,62,172.0,0,4
64,233.0,9,64.0,0,6
289,65.0,94,,1,5
249,309.0,21,249.0,0,2
1,211.0,62,1.0,0,7
84,147.0,62,225.0,1,1
208,247.0,62,208.0,0,7
222,249.0,60,222.0,0,3
217,290.0,59,108.0,1,5
300,67.0,63,300.0,0,6
139,222.0,62,139.0,0,3
181,300.0,62,181.0,0,8
130,161.0,60,130.0,0,5
113,72.0,62,113.0,0,11
21,98.0,101,21.0,0,11
42,140.0,62,42.0,0,11
188,291.0,78,275.0,1,9
300,217.0,38,300.0,0,5
139,129.0,36,139.0,0,4
296,283.0,9,296.0,0,7
17,74.0,36,17.0,0,2
175,67.0,63,300.0,1,0
269,206.0,62,269.0,0,2
142,252.0,59,232.0,1,5
172,206.0,81,172.0,0,1
204,113.0,116,204.0,0,9
12,62.0,38,219.0,1,6
266,284.0,83,169.0,1,10
210,276.0,32,88.0,1,5
165,92.0,9,165.0,0,7
16,37.0,62,16.0,0,6
198,46.0,60,198.0,0,8
139,91.0,116,139.0,0,5
115,141.0,62,115.0,0,7
266,200.0,60,266.0,0,3
113,85.0,62,113.0,0,7
59,219.0,38,83.0,1,11
300,62.0,120,300.0,0,5
220,293.0,4,220.0,0,2
147,157.0,9,147.0,0,3
243,115.0,126,243.0,0,10
133,159.0,62,133.0,0,7
165,171.0,62,99.0,1,3
31,170.0,60,31.0,0,9
101,272.0,62,101.0,0,8
113,77.0,60,113.0,0,1
302,59.0,62,302.0,0,5
265,273.0,62,265.0,0,10
169,45.0,83,169.0,0,7
127,124.0,63,300.0,1,6
155,273.0,116,155.0,0,8
37,41.0,62,37.0,0,0
12,108.0,59,181.0,1,5
95,163.0,117,95.0,0,5
195,194.0,60,225.0,1,2
37,74.0,62,37.0,0,6
252,322.0,60,140.0,1,7
97,295.0,106,244.0,1,7
0,207.0,32,273.0,1,5
99,77.0,115,99.0,0,5
21,247.0,65,225.0,1,10
99,222.0,62,99.0,0,3
140,44.0,9,140.0,0,5
181,195.0,62,300.0,1,2
38,294.0,29,38.0,0,8
265,12.0,62,265.0,0,4
131,61.0,89,131.0,0,3
304,194.0,97,304.0,0,11
142,280.0,83,169.0,1,7
258,128.0,62,258.0,0,8
122,290.0,62,24.0,1,3
219,62.0,38,219.0,0,2
206,108.0,62,206.0,0,5
322,140.0,8,291.0,1,2
240,181.0,60,300.0,1,10
225,19.0,62,225.0,0,2
161,26.0,62,161.0,0,7
91,144.0,62,91.0,0,10
232,253.0,62,232.0,0,7
309,88.0,60,309.0,0,8
193,108.0,62,193.0,0,10
322,147.0,62,322.0,0,8
143,119.0,86,143.0,0,3
252,171.0,62,252.0,0,1
77,113.0,62,77.0,0,6
110,326.0,70,143.0,1,6
127,115.0,29,127.0,0,8
127,59.0,62,127.0,0,8
221,297.0,60,221.0,0,2
88,27.0,62,88.0,0,5
106,155.0,62,106.0,0,1
72,106.0,62,72.0,0,2
2,35.0,116,2.0,0,9
64,89.0,119,103.0,1,10
269,139.0,62,269.0,0,5
141,101.0,25,10.0,1,11
73,266.0,62,73.0,0,5
71,15.0,62,,0,1
220,152.0,62,220.0,0,10
116,272.0,62,124.0,1,5
17,146.0,60,17.0,0,9
201,221.0,62,69.0,1,1
13,110.0,117,13.0,0,9
60,146.0,58,266.0,1,4
92,109.0,9,,0,8
4,53.0,9,4.0,0,9
297,274.0,117,297.0,0,8
61,133.0,1,225.0,1,11
51,269.0,62,269.0,0,7
193,221.0,60,193.0,0,4
12,37.0,109,16.0,1,5
231,253.0,117,231.0,0,9
273,183.0,116,273.0,0,9
182,194.0,106,97.0,1,6
128,258.0,83,169.0,1,7
139,72.0,60,139.0,0,9
217,118.0,62,217.0,0,10
109,29.0,60,109.0,0,2
30,124.0,60,30.0,0,3
77,74.0,116,77.0,0,5
132,284.0,67,132.0,0,5
133,16.0,60,133.0,0,10
255,94.0,70,249.0,0,6
41,88.0,116,41.0,0,8
75,283.0,9,75.0,0,8
155,292.0,116,155.0,0,10
274,74.0,62,274.0,0,4
247,296.0,62,298.0,1,10
12,83.0,38,12.0,0,6
322,178.0,9,322.0,0,7
249,88.0,21,249.0,0,3
193,183.0,116,193.0,0,9
107,2.0,60,107.0,0,3
107,41.0,62,107.0,0,5
171,49.0,9,171.0,0,7
88,249.0,21,88.0,0,3
273,206.0,62,273.0,0,5
281,133.0,14,284.0,1,11
16,151.0,62,258.0,1,3
158,109.0,62,158.0,0,5
77,26.0,116,77.0,0,5
127,214.0,23,67.0,1,2
128,266.0,55,142.0,1,2
154,266.0,60,154.0,0,10
130,300.0,62,130.0,0,7
61,195.0,62,61.0,0,5
132,307.0,60,258.0,1,3
80,224.0,62,80.0,0,7
219,302.0,60,219.0,0,5
49,64.0,62,252.0,1,0
77,221.0,60,77.0,0,8
306,302.0,62,306.0,0,8
269,249.0,62,269.0,0,1
122,241.0,25,141.0,1,5
4,298.0,62,99.0,1,7
204,253.0,62,204.0,0,7
31,117.0,60,31.0,0,5
138,321.0,60,138.0,0,8
12,219.0,60,12.0,0,5
129,77.0,116,129.0,0,9
300,67.0,60,300.0,0,9
232,77.0,62,,0,4
193,181.0,62,193.0,0,3
47,214.0,60,47.0,0,8
98,77.0,62,98.0,0,5
1,131.0,62,1.0,0,6
108,27.0,62,108.0,0,4
24,80.0,29,24.0,0,9
113,2.0,60,113.0,0,2
129,161.0,116,129.0,0,5
190,142.0,83,169.0,1,7
283,322.0,62,189.0,1,5
85,118.0,62,300.0,1,6
91,155.0,17,161.0,1,5
134,291.0,62,134.0,0,11
227,139.0,62,227.0,0,7
232,12.0,62,232.0,0,7
193,27.0,62,193.0,0,4
44,263.0,24,296.0,1,10
140,265.0,62,140.0,0,9
42,75.0,9,,0,3
321,74.0,36,321.0,0,8
70,141.0,60,70.0,0,1
8,188.0,62,222.0,1,4
98,163.0,60,98.0,0,8
232,266.0,59,37.0,1,5
12,37.0,50,12.0,0,2
129,69.0,62,129.0,0,5
159,171.0,62,159.0,0,7
101,272.0,26,101.0,0,2
227,69.0,62,227.0,0,5
17,204.0,117,17.0,0,10
164,169.0,60,247.0,1,4
88,193.0,62,88.0,0,1
16,41.0,62,16.0,0,1
98,309.0,60,98.0,0,9
204,309.0,21,204.0,0,3
273,77.0,62,273.0,0,9
190,284.0,62,190.0,0,9
265,159.0,9,265.0,0,8
69,113.0,60,69.0,0,10
324,189.0,62,324.0,0,3
193,181.0,62,108.0,1,4
70,118.0,62,70.0,0,0
252,158.0,60,252.0,0,5
169,308.0,83,169.0,0,7
165,158.0,62,165.0,0,2
225,217.0,62,225.0,0,1
113,91.0,62,113.0,0,10
124,115.0,60,124.0,0,8
141,70.0,62,141.0,0,5
4,93.0,9,4.0,0,2
79,241.0,62,79.0,0,11
143,3.0,86,143.0,0,3
20,124.0,62,300.0,1,11
323,283.0,62,323.0,0,8
163,2.0,62,163.0,0,1
108,206.0,62,108.0,0,10
139,269.0,62,139.0,0,1
12,302.0,62,12.0,0,9
142,280.0,83,169.0,1,7
35,2.0,62,35.0,0,3
258,216.0,62,258.0,0,5
265,29.0,8,291.0,1,0
128,308.0,1,128.0,0,8
